"Russell2000","EuropeStocks","EMStocks","Treasury","CorpBonds","RealEstate","date"
-0.0143946244239677,-0.00583439299872845,0.0138939969760123,-0.00511284785625588,-0.00594624355573359,-0.00985926691579864,2000-01-03
-0.0383179221154657,-0.0390489805131292,0.00838337834025227,0.00428959484829083,0.00440076132163836,-0.0127680077089858,2000-01-04
0.000880937718538144,-0.024819918571876,-0.018565889923658,-0.00455323948368758,-0.00528384367041645,0.00675126077761501,2000-01-05
-0.00743549473675431,-0.00481734243275789,-0.0102832474699138,0.00316827528325647,0.00305409682394076,0.0184212652500606,2000-01-06
0.0275671791078649,0.0226704316256556,0.0124681096206074,0.00260400326284738,0.00290411399401092,0.0200714002380009,2000-01-07
0.0277253476915651,0.0143578415904071,0.0296484454379191,-0.00165847858059276,-0.00208410568820572,0.0131435682065639,2000-01-10
-0.0185327785836373,-0.0064551252138747,-0.0169136947640569,-0.0045657806753594,-0.00522114563984144,-0.00514316419743621,2000-01-11
-0.00535625589198285,-0.000939334637964806,0.0049586445033325,-0.00102860141695094,-0.00131213726974511,-0.00617283950617276,2000-01-12
0.0229060379565971,0.0062681187808511,0.0149623444335685,0.00482259369385463,0.00463894082571126,-0.00038819875776408,2000-01-13
0.0128165531203486,0.0244491162500973,0.0148598645882538,-0.00202852482328841,-0.00109653535068999,-0.00333980582524274,2000-01-14
0,0.00737250133009049,0.0169695324166554,0,0,0,2000-01-17
0.0114581837283561,-0.0229364720084502,-0.00329913421564521,-0.00169736593952352,-0.0024875371368146,0.00693578553615981,2000-01-18
0.0127385933278481,-0.00277992277992289,-0.0212570553907968,0.00154282115869031,0.00170624343752523,0.00580450429533319,2000-01-19
0.0140745521035004,-0.00139383614681721,-0.0016421003245104,-0.00113175516363284,-0.00124978582299407,-0.00230840258541098,2000-01-20
0.0125856086548077,-0.00403225806451624,-0.0062854905032308,0.00070290288399999,0.00113025138001666,0.00277649236464605,2000-01-21
-0.0202439448664401,0.00272500778573659,0.000275867504778482,0.00384752479399486,0.00537271306889786,-0.0119212428857099,2000-01-24
-0.00286556473198107,-0.0179361751688795,-0.0156216141677994,0.000543063924890008,0.00030078806472944,-0.00210165797462447,2000-01-25
-0.000943892936119628,0.0116223908918407,0.00264158495097067,0.00160743176243416,0.00112260444230605,-0.000702028081123074,2000-01-26
-0.00785723593938048,0.0143024618991794,0.0026545846473196,0.00112548067403773,0.000680816980376475,0.00031223167590344,2000-01-27
